Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.52  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Pulse,Off
TempUnit,C
Sampling interval,1s
Total data points,145       
Trigger,0         
Start time,2023-08-11,15:57:19
End time,2023-08-11,15:59:44
Trigger time,2023-08-11,15:57:20
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",DC,5V,,Off,+14.43,-18.40,[GPM],28,5,6,0
CH2,"ACH 2","M",TEMP,TC_K,2000degC,Off,+2000.0,-200.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+2000.0,-200.0,[degC],9,22,8,0
CH4," CH 4","M",DC,5V,,Off,+15.000,-22.500,[PSI],21,0,21,0
CH5," CH 5","M",DC,5V,,Off,+15.000,-22.500,[PSI],28,16,2,0
CH6," CH 6","M",DC,5V,,Off,+7.499,-11.250,[PSI],5,23,30,0
CH7," CH 7","M",DC,5V,,Off,+7.500,-11.250,[PSI],30,23,1,0
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line Width
Pulse1,INST,L,,500000,0,[C],28,5,6,0
Pulse2,INST,L,,500000,0,[C],0,13,23,0
Pulse3,INST,L,,500000,0,[C],9,22,8,0
Pulse4,INST,L,,500000,0,[C],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Pulse1,Pulse2,Pulse3,Pulse4,Alarm1-10,AlarmLogic/Pulse,AlarmOut
NO.,Time,ms,"GPM","°C","°C","PSI","PSI","PSI","PSI","C","C","C","C","A1234567890","ALP1-4","AO1234"
        25,2023/08/11 15:57:44,  0,+  0.58,+  26.8,+  27.0,+ 1.393,- 0.251,+ 1.589,- 0.611,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        26,2023/08/11 15:57:45,  0,+  0.85,+  26.8,+  27.0,+ 1.515,- 0.231,+ 1.834,- 0.582,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        27,2023/08/11 15:57:46,  0,+  1.05,+  26.8,+  27.0,+ 1.714,- 0.212,+ 2.080,- 0.578,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        28,2023/08/11 15:57:47,  0,+  1.25,+  26.7,+  27.0,+ 2.098,- 0.240,+ 2.303,- 0.561,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        29,2023/08/11 15:57:48,  0,+  1.15,+  26.8,+  27.0,+ 2.404,- 0.225,+ 2.651,- 0.544,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        30,2023/08/11 15:57:49,  0,+  1.20,+  26.8,+  27.0,+ 2.683,- 0.225,+ 2.937,- 0.566,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        31,2023/08/11 15:57:50,  0,+  1.46,+  26.9,+  27.0,+ 3.038,- 0.240,+ 3.211,- 0.578,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        32,2023/08/11 15:57:51,  0,+  1.25,+  26.8,+  27.0,+ 3.038,- 0.242,+ 3.452,- 0.522,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        33,2023/08/11 15:57:52,  0,+  1.76,+  26.7,+  27.0,+ 3.227,- 0.229,+ 3.837,- 0.559,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        34,2023/08/11 15:57:53,  0,+  1.71,+  26.8,+  27.0,+ 3.694,- 0.231,+ 4.111,- 0.584,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
