t,ax,ay,az,gx,gy,gz
15.3,8892,8244,-12396,536,-91,4
15.4,8852,8148,-12464,552,-174,31
15.5,8848,8276,-12440,529,-154,44
15.6,8876,8224,-12496,566,-152,61
15.7,8904,8116,-12428,516,-132,37
15.8,8884,8264,-12404,561,-153,47
15.9,8876,8188,-12416,548,-171,48
16,8844,8196,-12472,552,-144,-2
16.1,8868,8184,-12332,540,-185,26
16.2,8832,8160,-12336,531,-127,36
16.3,8916,8204,-12468,539,-147,48
16.4,8824,8168,-12420,507,-109,43
16.5,8892,8280,-12408,558,-190,27
16.6,8836,8136,-12200,579,-180,53
16.7,8960,8252,-12640,501,-74,56
16.8,8812,8172,-12224,569,-203,58
16.9,8976,8216,-12604,497,-87,38
17,8820,8296,-12300,563,-181,36
17.1,8888,8136,-12544,549,-183,87
17.2,8828,8196,-12336,531,-163,74
17.3,8892,8156,-12312,568,-158,58
17.4,8912,8200,-12388,549,-139,53
17.5,8872,8288,-12488,549,-140,7
17.6,8932,8172,-12436,547,-153,29
17.7,8880,8172,-12320,534,-138,23
17.8,8784,8172,-12196,456,-41,59
17.9,8896,8124,-12244,596,-217,76
18,9036,8644,-12152,614,-331,47
18.1,10856,9996,-14912,2031,-2375,236
18.2,9884,9260,-14456,698,-896,225
18.3,8756,6992,-12404,1152,-742,65
18.4,8776,7972,-12424,356,0,0
18.5,8828,8400,-12092,530,-89,27
18.6,9060,8248,-12756,345,21,18
18.7,8948,8244,-12508,572,-228,37
18.8,8764,8164,-12096,686,-287,68
18.9,8804,8000,-12328,596,-164,72
19,8900,8476,-12312,508,-108,49
19.1,8992,8072,-12456,503,-143,29
19.2,8868,8272,-12584,518,-120,24
19.3,8920,8196,-12476,621,-226,73
19.4,8912,8016,-12476,576,-141,33
19.5,8800,8312,-12392,571,-178,56
19.6,8920,8064,-12352,597,-212,46
19.7,8680,8344,-12364,565,-145,53
19.8,8912,8128,-12420,559,-187,65
19.9,8748,8272,-12636,518,-106,41
20,8916,8212,-12324,572,-172,73
20.1,8940,8076,-12568,490,-116,11
20.2,8884,8428,-12504,489,-119,44
20.3,9004,8088,-12500,520,-117,62
20.4,8844,8216,-12456,533,-136,48
20.5,8876,8236,-12392,551,-135,38
20.6,8820,8108,-12552,540,-141,24
20.7,8884,8280,-12296,555,-159,45
20.8,8972,8196,-12500,569,-199,43
20.9,8800,8172,-12364,495,-139,20
21,8940,8216,-12480,524,-174,37
21.1,8772,8180,-12300,561,-126,31
21.2,8932,8236,-12280,597,-177,78
21.3,8876,8208,-12420,566,-142,64
21.4,8924,8176,-12604,511,-125,52
21.5,8924,8256,-12324,552,-148,51
21.6,8864,8188,-12484,561,-192,34
21.7,8880,8164,-12516,510,-147,41
21.8,8864,8276,-12464,551,-205,56
21.9,8860,8232,-12488,542,-145,31
22,8876,8148,-12464,524,-162,28
22.1,8928,8268,-12372,533,-151,30
22.2,8856,8228,-12340,575,-152,61
22.3,8892,8188,-12428,519,-115,39
22.4,8972,8244,-12428,554,-184,34
22.5,8868,8092,-12388,577,-203,52
22.6,8852,8284,-12328,543,-140,50
22.7,8900,8164,-12320,551,-170,58
22.8,8912,8272,-12344,529,-163,23
22.9,8904,8248,-12428,493,-107,5
23,8892,8244,-12436,549,-148,60
23.1,8944,8188,-12484,528,-144,52
23.2,8848,8188,-12452,505,-140,-1
23.3,8892,8200,-12408,551,-190,59
23.4,8876,8172,-12472,541,-188,48
