t,ax,ay,az,gx,gy,gz
13.30,6800,28,-12756,-2782,2619,-972
13.40,6704,268,-12540,-1584,-104,-266
13.50,6816,176,-12732,-225,-2879,500
13.60,5780,9708,-15856,4404,-2398,986
13.70,6852,-164,-13600,3960,-7931,-1986
13.80,7424,-1020,-15400,2321,-10520,-2983
13.90,7744,-532,-15464,996,-12547,-4497
14.00,8284,60,-17560,1027,-14005,-4845
14.10,9044,576,-18892,2731,-14660,-3834
14.20,9324,596,-19096,5429,-14745,-1809
14.30,9380,168,-18920,7405,-14515,-120
14.40,9212,-608,-18552,7595,-13762,233
14.50,8756,-964,-17664,6223,-12849,-631
14.60,8684,-856,-17464,4291,-11434,-2047
14.70,8432,-304,-16768,3108,-9465,-2866
14.80,8396,348,-16536,3192,-7137,-2495
14.90,8280,568,-15856,4119,-4550,-1401
15.00,8048,472,-15340,4911,-1943,-326
15.10,7772,36,-15008,4945,520,99
15.20,7664,-440,-14956,4098,2575,-346
15.30,7600,-852,-14896,2154,4730,-1698
15.40,7740,-984,-15468,-311,6783,-3428
15.50,8132,-676,-16132,-2415,8568,-4813
15.60,8580,-144,-17168,-3436,10293,-5094
15.70,8992,84,-18008,-3156,11680,-4380
15.80,9016,-24,-18432,-2450,12622,-3348
15.90,8912,-456,-18412,-2240,13098,-2908
16.00,8660,-904,-17884,-3193,12994,-3452
16.10,8400,-948,-17108,-4837,12298,-4471
16.20,8336,-540,-16688,-6048,11161,-5108
16.30,8164,-24,-16088,-5853,9750,-4689
16.40,7956,308,-15452,-4422,8186,-3484
16.50,7464,348,-14412,-2508,6285,-1963
16.60,7176,248,-13628,-856,4058,-824
16.70,6932,-76,-13008,59,1742,-300
16.80,6720,-216,-12572,307,-625,-302
16.90,6784,-368,-12888,292,-3162,-524
17.00,7104,-124,-13436,572,-5560,-512
17.10,7412,116,-14288,1515,-7610,17
17.20,7816,452,-15336,3187,-9292,1101
17.30,8264,352,-16188,5159,-10649,2576
17.40,8528,0,-16944,6670,-11728,3705
17.50,8716,-428,-17256,6998,-12426,4100
17.60,8800,-796,-17792,6205,-12876,3686
17.70,8920,-736,-17920,4856,-12844,2828
17.80,9116,-368,-18116,4029,-12409,2446
17.90,9152,88,-18092,4147,-11378,2946
18.00,9036,256,-17508,4816,-9994,3863
18.10,8640,40,-16828,5224,-8351,4732
18.20,8340,-264,-16148,4833,-6606,4818
18.30,7936,-552,-15388,3508,-4634,4160
18.40,7700,-624,-14940,1653,-2560,2999
18.50,7672,-504,-14800,-67,-365,1815
18.60,7756,-224,-15196,-1194,1780,1157
18.70,7964,-32,-15500,-1625,4078,1071
18.80,8208,204,-16048,-1488,6237,1477
18.90,8300,12,-16536,-1205,8264,1902
19.00,8436,-372,-16980,-1294,9980,1946
19.10,8492,-684,-17372,-1996,11380,1429
19.20,8552,-884,-17776,-3329,12343,450
19.30,8816,-664,-18060,-4505,12933,-320
19.40,8884,-364,-18180,-4925,13115,-500
19.50,8684,-128,-17940,-4352,12942,-36
19.60,8460,-104,-17436,-3278,12335,759
19.70,8076,-268,-16564,-2387,11358,1267
19.80,7624,-512,-15456,-2072,9844,1234
19.90,7260,-624,-14360,-2309,7919,775
20.00,7044,-536,-13520,-2669,5709,244
20.10,6912,-324,-13128,-2744,3268,-3
20.20,6904,-124,-12852,-2331,799,72
20.30,6948,-16,-13092,-1558,-1634,436
20.40,7032,60,-13372,-530,-4051,929
20.50,7112,-892,-12104,2622,-6444,-616
20.60,7328,-840,-14320,2837,-8496,-829
20.70,7676,-780,-15264,2286,-10273,-1378
20.80,7948,-468,-16072,1845,-11945,-2035
20.90,8612,-24,-17488,2274,-12975,-1981
21.00,8984,172,-18204,3485,-13300,-1319
21.10,9000,144,-18188,4826,-13350,-261
21.20,9172,-152,-18304,5603,-12814,423
21.30,8872,-464,-17720,5499,-12034,500
21.40,8648,-616,-17248,4742,-10875,51
21.50,8428,-464,-16744,3861,-9433,-533
21.60,8356,-148,-16504,3253,-7639,-855
21.70,8260,28,-16032,3158,-5546,-792
21.80,8036,168,-15564,3252,-3414,-407
21.90,8032,48,-15500,3324,-1130,-108
22.00,7904,-92,-15236,2980,1072,-119
22.10,7716,-368,-15156,2197,3211,-545
22.20,7800,-492,-15532,972,5174,-1360
22.30,7988,-524,-15884,-432,7012,-2268
22.40,8348,-412,-16512,-1566,8672,-2953
22.50,8548,-260,-17284,-2149,10067,-3174
22.60,8712,-192,-17568,-2208,11266,-2955
22.70,8768,-340,-17908,-2130,11984,-2629
22.80,8672,-548,-17832,-2359,12182,-2700
22.90,8456,-688,-17276,-3027,11917,-3096
23.00,8280,-608,-16724,-3748,11162,-3616
23.10,8084,-376,-16092,-4011,9958,-3696
23.20,7892,-100,-15532,-3523,8544,-3311
23.30,7604,32,-14880,-2557,6775,-2610
23.40,7320,72,-14004,-1483,4881,-1889
23.50,7096,-56,-13468,-563,2715,-1365
23.60,7016,-184,-13132,34,425,-1087
23.70,6964,-112,-13120,392,-1818,-996
23.80,7088,-44,-13468,826,-4064,-866
23.90,7316,20,-14016,1499,-6097,-529
24.00,7608,104,-14716,2546,-7811,89
