t,ax,ay,az,gx,gy,gz
12.80,10192,-2316,-13392,1472,-10058,2681
12.90,10664,-2560,-14148,1158,-11768,2351
13.00,11064,-2640,-14968,810,-13090,1858
13.10,11356,-2464,-15880,925,-13725,1601
13.20,11536,-2352,-16372,1430,-13798,1596
13.30,11512,-2388,-16288,1817,-13264,1558
13.40,11312,-2352,-16052,2025,-12357,1283
13.50,11128,-2204,-15556,2137,-10959,1065
13.60,10792,-2012,-15144,2443,-9100,898
13.70,10420,-2048,-14576,2440,-7097,652
13.80,10144,-2176,-14068,2134,-4951,3
13.90,9908,-2188,-13668,1514,-2866,-751
14.00,9844,-2036,-13816,997,-436,-1518
14.10,9952,-2012,-13872,667,1859,-2057
14.20,10084,-1840,-14232,595,4213,-2454
14.30,10364,-2020,-14616,625,6452,-2680
14.40,10656,-2132,-15072,648,8502,-2920
14.50,10892,-2312,-15576,535,10103,-3227
14.60,11168,-2532,-15804,364,11429,-3504
14.70,11376,-2848,-15924,97,12235,-3840
14.80,11372,-2792,-15904,-251,12551,-4112
14.90,11356,-2748,-15584,-588,12347,-4334
15.00,10996,-2684,-15024,-957,11688,-4429
15.10,10644,-2476,-14284,-1139,10521,-4444
15.20,10320,-2148,-13736,-903,9044,-4070
15.30,9852,-1780,-12988,-352,7310,-3478
15.40,9464,-1684,-12104,313,5287,-2828
15.50,9076,-1584,-11516,816,3073,-2276
15.60,8992,-1500,-11312,1227,636,-1753
15.70,9116,-1436,-11368,1700,-1750,-1220
15.80,9300,-1456,-11864,2439,-4204,-546
15.90,9652,-1492,-12244,3345,-6296,239
16.00,9968,-1728,-12912,4105,-8120,970
16.10,10332,-1948,-13536,4601,-9714,1445
16.20,10844,-2128,-14476,4946,-11044,1838
16.30,11208,-2136,-15288,5371,-11877,2207
16.40,11500,-2264,-15680,5730,-12239,2582
16.50,11608,-2340,-15956,5864,-12092,2879
16.60,11544,-2432,-15780,5706,-11567,2916
16.70,11404,-2284,-15660,5315,-10646,2739
16.80,11076,-2176,-15308,4969,-9254,2570
16.90,10768,-2232,-14700,4490,-7648,2253
17.00,10380,-2224,-14160,3658,-5806,1676
17.10,10124,-2164,-13696,2635,-3904,861
17.20,9992,-2192,-13676,1614,-1843,-10
17.30,9988,-2136,-13600,662,180,-760
17.40,9968,-2140,-13612,-84,2116,-1426
17.50,10192,-2236,-13848,-810,4093,-2043
17.60,10424,-2288,-14352,-1561,6055,-2670
17.70,10776,-2488,-14880,-2276,7743,-3144
17.80,11060,-2612,-15228,-2918,9191,-3572
17.90,11332,-2664,-15484,-3469,10263,-3859
18.00,11460,-2832,-15692,-3965,10960,-3997
18.10,11464,-2796,-15600,-4379,11073,-4040
18.20,11228,-2600,-15236,-4633,10841,-3956
18.30,11044,-2320,-14764,-4596,10160,-3510
18.40,10648,-2076,-14192,-3876,9209,-2752
18.50,10192,-1780,-13408,-3103,7768,-1962
18.60,9664,-1640,-12660,-2317,6048,-1188
18.70,9420,-1468,-12052,-1638,3982,-488
18.80,9204,-1396,-11696,-931,1776,255
18.90,9200,-1328,-11560,-164,-280,984
19.00,9280,-1308,-11760,553,-2438,1698
19.10,9484,-1504,-12060,1334,-4496,2329
19.20,9816,-1604,-12612,1993,-6452,3022
19.30,10180,-1852,-13264,2523,-8153,3517
19.40,10524,-2044,-13920,2895,-9628,3937
19.50,10888,-2120,-14604,3084,-10723,4171
